fuzzer,domain,dns_a,dns_aaaa
*original,ad-academie.nl,52.213.220.96,
addition,ad-academie0.nl,,
addition,ad-academie1.nl,,
addition,ad-academie2.nl,,
addition,ad-academie3.nl,,
addition,ad-academie4.nl,,
addition,ad-academie5.nl,,
addition,ad-academie6.nl,,
addition,ad-academie7.nl,,
addition,ad-academie8.nl,,
addition,ad-academie9.nl,,
addition,ad-academiea.nl,,
addition,ad-academieb.nl,,
addition,ad-academiec.nl,,
addition,ad-academied.nl,,
addition,ad-academiee.nl,,
addition,ad-academief.nl,,
addition,ad-academieg.nl,,
addition,ad-academieh.nl,,
addition,ad-academiei.nl,,
addition,ad-academiej.nl,,
addition,ad-academiek.nl,,
addition,ad-academiel.nl,,
addition,ad-academiem.nl,,
addition,ad-academien.nl,,
addition,ad-academieo.nl,,
addition,ad-academiep.nl,,
addition,ad-academieq.nl,,
addition,ad-academier.nl,,
addition,ad-academies.nl,,
addition,ad-academiet.nl,,
addition,ad-academieu.nl,,
addition,ad-academiev.nl,,
addition,ad-academiew.nl,,
addition,ad-academiex.nl,,
addition,ad-academiey.nl,,
addition,ad-academiez.nl,,
addition,ad0-academie.nl,,
addition,ad1-academie.nl,,
addition,ad2-academie.nl,,
addition,ad3-academie.nl,,
addition,ad4-academie.nl,,
addition,ad5-academie.nl,,
addition,ad6-academie.nl,,
addition,ad7-academie.nl,,
addition,ad8-academie.nl,,
addition,ad9-academie.nl,,
addition,ada-academie.nl,,
addition,adb-academie.nl,,
addition,adc-academie.nl,,
addition,add-academie.nl,,
addition,ade-academie.nl,,
addition,adf-academie.nl,,
addition,adg-academie.nl,,
addition,adh-academie.nl,,
addition,adi-academie.nl,,
addition,adj-academie.nl,,
addition,adk-academie.nl,,
addition,adl-academie.nl,,
addition,adm-academie.nl,46.30.211.38,
addition,adn-academie.nl,,
addition,ado-academie.nl,,
addition,adp-academie.nl,,
addition,adq-academie.nl,,
addition,adr-academie.nl,,
addition,ads-academie.nl,,
